Date,ABBV,JNJ,LLY,MRK,NVO,UHN
2022-02-01 00:00:00,137.0,170.8800048828125,248.27999877929688,81.91999816894531,102.5999984741211,
2022-02-02 00:00:00,138.6199951171875,172.77000427246094,250.8300018310547,82.01000213623047,106.58999633789062,
2022-02-03 00:00:00,140.72999572753906,172.75999450683594,244.80999755859375,79.01000213623047,104.62999725341797,
2022-02-04 00:00:00,140.64999389648438,171.6300048828125,242.27000427246094,78.55999755859375,99.66999816894531,
2022-02-07 00:00:00,142.52999877929688,171.05999755859375,243.5500030517578,77.58000183105469,101.76000213623047,
2022-02-08 00:00:00,143.50999450683594,171.50999450683594,239.91000366210938,76.91000366210938,101.55000305175781,
2022-02-09 00:00:00,143.1999969482422,171.49000549316406,243.27000427246094,76.52999877929688,105.91999816894531,
2022-02-10 00:00:00,142.7100067138672,169.4199981689453,239.63999938964844,76.55999755859375,104.05999755859375,
2022-02-11 00:00:00,142.00999450683594,167.7100067138672,235.74000549316406,76.63999938964844,98.91000366210938,
2022-02-14 00:00:00,143.0,165.60000610351562,234.69000244140625,76.47000122070312,98.13999938964844,
2022-02-15 00:00:00,144.75999450683594,167.30999755859375,243.83999633789062,77.80999755859375,101.36000061035156,
2022-02-16 00:00:00,145.8699951171875,167.2100067138672,245.5800018310547,77.22000122070312,103.16999816894531,
2022-02-17 00:00:00,144.97000122070312,166.19000244140625,240.97000122070312,76.36000061035156,102.44999694824219,
2022-02-18 00:00:00,144.02999877929688,163.36000061035156,240.30999755859375,76.37000274658203,100.80999755859375,
2022-02-22 00:00:00,145.55999755859375,161.13999938964844,239.1300048828125,75.94999694824219,99.23999786376953,
2022-02-23 00:00:00,146.75999450683594,161.22000122070312,238.30999755859375,75.83999633789062,97.68000030517578,
2022-02-24 00:00:00,145.27000427246094,158.13999938964844,243.0800018310547,73.51000213623047,98.94999694824219,
2022-02-25 00:00:00,149.5399932861328,166.0,250.85000610351562,76.31999969482422,102.75,
2022-02-28 00:00:00,147.77000427246094,164.57000732421875,249.9499969482422,76.58000183105469,102.94999694824219,
2022-03-01 00:00:00,147.69000244140625,164.0,249.5,76.33999633789062,103.5999984741211,
2022-03-02 00:00:00,149.57000732421875,166.0399932861328,254.1699981689453,76.66999816894531,104.66999816894531,
2022-03-03 00:00:00,150.41000366210938,168.47999572753906,258.6400146484375,77.1500015258789,104.2699966430664,
2022-03-04 00:00:00,150.55999755859375,169.47999572753906,262.8699951171875,77.83000183105469,104.11000061035156,
2022-03-07 00:00:00,149.4499969482422,172.2100067138672,261.6400146484375,77.7300033569336,100.8499984741211,
2022-03-08 00:00:00,147.14999389648438,168.72000122070312,259.92999267578125,76.94999694824219,102.30999755859375,
2022-03-09 00:00:00,148.83999633789062,169.36000061035156,262.7900085449219,77.79000091552734,105.05999755859375,
2022-03-10 00:00:00,149.1699981689453,169.66000366210938,266.0199890136719,77.88999938964844,104.45999908447266,
2022-03-11 00:00:00,149.05999755859375,169.35000610351562,266.29998779296875,78.26000213623047,101.26000213623047,
2022-03-14 00:00:00,152.10000610351562,171.69000244140625,269.0,77.77999877929688,101.73999786376953,
2022-03-15 00:00:00,155.8800048828125,176.13999938964844,275.4599914550781,78.63999938964844,102.44999694824219,
2022-03-16 00:00:00,156.0500030517578,174.52000427246094,276.44000244140625,78.12000274658203,106.23999786376953,
2022-03-17 00:00:00,158.58999633789062,176.8000030517578,285.510009765625,78.94000244140625,109.8499984741211,
2022-03-18 00:00:00,159.1999969482422,174.83999633789062,287.6400146484375,79.11000061035156,111.47000122070312,
2022-03-21 00:00:00,160.0500030517578,175.8300018310547,289.6400146484375,79.05999755859375,110.19000244140625,
2022-03-22 00:00:00,160.00999450683594,175.0,285.0199890136719,79.30000305175781,109.61000061035156,
2022-03-23 00:00:00,158.4199981689453,174.33999633789062,284.19000244140625,79.7300033569336,109.37000274658203,
2022-03-24 00:00:00,160.27999877929688,175.24000549316406,287.69000244140625,80.41000366210938,108.9800033569336,
2022-03-25 00:00:00,161.3300018310547,176.9199981689453,289.0199890136719,81.33999633789062,106.51000213623047,
2022-03-28 00:00:00,161.97000122070312,177.8300018310547,291.6600036621094,81.20999908447266,107.91000366210938,
2022-03-29 00:00:00,162.17999267578125,177.74000549316406,288.3900146484375,81.56999969482422,110.19999694824219,
2022-03-30 00:00:00,163.75,179.58999633789062,289.8900146484375,82.4000015258789,112.54000091552734,
2022-03-31 00:00:00,162.11000061035156,177.22999572753906,286.3699951171875,82.05000305175781,111.05000305175781,
2022-04-01 00:00:00,162.67999267578125,178.19000244140625,292.6700134277344,83.5199966430664,112.91000366210938,
2022-04-04 00:00:00,161.88999938964844,176.47000122070312,291.4200134277344,83.48999786376953,113.80999755859375,
2022-04-05 00:00:00,163.42999267578125,177.61000061035156,292.489990234375,83.72000122070312,114.80999755859375,
2022-04-06 00:00:00,168.91000366210938,182.22999572753906,305.8399963378906,84.97000122070312,117.12999725341797,
2022-04-07 00:00:00,173.27999877929688,181.75999450683594,308.42999267578125,86.80000305175781,121.80999755859375,
2022-04-08 00:00:00,174.9600067138672,182.1199951171875,311.69000244140625,87.68000030517578,120.55999755859375,
2022-04-11 00:00:00,169.8300018310547,179.83999633789062,308.9599914550781,86.62999725341797,120.94999694824219,
2022-04-12 00:00:00,167.30999755859375,179.89999389648438,308.0799865722656,85.62999725341797,117.4000015258789,
2022-04-13 00:00:00,158.9499969482422,180.66000366210938,302.6700134277344,86.12999725341797,118.87999725341797,
2022-04-14 00:00:00,162.30999755859375,179.89999389648438,301.8599853515625,86.91000366210938,118.19999694824219,
